axis,subset,kind,method_x,method_y,n,pearson,pearson_lo,pearson_hi,spearman,spearman_lo,spearman_hi,P_bigfam_gt
dist_cum,>=0.10,continuous,falconer,snp_h2,153,0.47289331664987483,0.24587884798640047,0.776581000779348,0.750698187143688,0.6194081496052537,0.8667890780872565,0.9831
dist_cum,>=0.10,continuous,herg,snp_h2,153,0.44271751409816684,0.2137364333421354,0.7516860224448214,0.7399058138434884,0.6075379572145205,0.8572707674043188,0.9867
dist_cum,>=0.10,continuous,sem_step,snp_h2,153,0.18359474197556214,-0.015772903976405427,0.5478736891275835,0.6606215750307058,0.5183981902744296,0.7938871001790032,0.9991
dist_cum,>=0.10,continuous,sem_const,snp_h2,153,0.8062598826878329,0.7186695665733848,0.8824556464472458,0.8271059116819531,0.7451199323225467,0.8959508924868277,0.8001
dist_cum,>=0.10,continuous,ldak_step,snp_h2,153,0.5981873930856627,0.42718001669589256,0.7658957005636684,0.6616495754597456,0.5203929684884828,0.7933226465106256,0.9985
dist_cum,>=0.10,continuous,ldak_const,snp_h2,153,0.7095132826132367,0.5597709090902011,0.8455286042980631,0.7723226439359447,0.6495486389963643,0.8788359325188095,0.9677
dist_cum,>=0.10,continuous,bigfam,snp_h2,153,0.8339155976829489,0.7779169305543475,0.8824791813339565,0.851173931354771,0.7954916867856925,0.8962366590788391,
dist_cum,>=0.10,continuous,bigfam_v1,snp_h2,153,0.55381754325237,0.42167066315334445,0.6796899652255661,0.5691611325253985,0.44285206026333496,0.6833484242483842,1.0
dist_cum,>=0.10,binary,falconer,snp_h2,45,0.40795794273608843,0.05562168595929265,0.7009492943754161,0.392094861660079,0.10355722619362263,0.6213063600677325,0.3776
dist_cum,>=0.10,binary,herg,snp_h2,45,0.5154187289592662,0.17255296642068263,0.7608675134008525,0.43557312252964425,0.15375776092193158,0.6646007729665971,0.2338
dist_cum,>=0.10,binary,sem_step,snp_h2,45,0.04381354748958615,-0.24519125313454854,0.3227212468975405,-0.015415019762845848,-0.3055990375279271,0.2529265817618142,0.9047
dist_cum,>=0.10,binary,sem_const,snp_h2,45,0.359163288437582,-0.0001427180732264082,0.7399813587271764,0.44453227931488803,0.14474439271688525,0.7052607576218647,0.4581
dist_cum,>=0.10,binary,ldak_step,snp_h2,45,0.09489320712668482,-0.19083360506256902,0.35631437657985543,0.06403162055335967,-0.23146502337672822,0.338418595245896,0.8945
dist_cum,>=0.10,binary,ldak_const,snp_h2,45,0.501874832841759,0.18488014392956428,0.7681479998340673,0.5131752305665349,0.23325614116190774,0.7598300969291049,0.2398
dist_cum,>=0.10,binary,bigfam,snp_h2,45,0.37757100647205083,-0.05426286268004458,0.66970433755371,0.33823674509061313,0.028238281784960625,0.6215444657378145,
dist_cum,>=0.15,both,falconer,snp_h2,153,0.4076542915806922,0.18690481130922307,0.6924946551951081,0.6814016000913761,0.538464038527944,0.8062780146380706,0.9949
dist_cum,>=0.15,both,herg,snp_h2,153,0.3832583676275265,0.16803694400967872,0.6597479549948303,0.6618741555379363,0.5220795471190989,0.7865457616053387,0.9989
dist_cum,>=0.15,both,sem_step,snp_h2,153,0.11824920211877862,-0.06469363242444012,0.40688171870041323,0.49257543304755813,0.33870853495353764,0.6371445484654904,1.0
dist_cum,>=0.15,both,sem_const,snp_h2,153,0.6659426369940864,0.5059212248893391,0.8016452381477196,0.7205268523306546,0.6110556065768388,0.8120436131677315,0.9942
dist_cum,>=0.15,both,ldak_step,snp_h2,153,0.4677768788568928,0.29945193906949896,0.6295889390698604,0.5049493754550419,0.3494632806327265,0.654005789952185,1.0
dist_cum,>=0.15,both,ldak_const,snp_h2,153,0.6258096058782715,0.4702275551766744,0.7655400375706921,0.6828576095850681,0.5443743167282885,0.7995781480588722,0.9981
dist_cum,>=0.15,both,bigfam,snp_h2,153,0.8073274845553363,0.7495445381390266,0.8582362062611184,0.787808978995934,0.7175562103579441,0.8460185809545718,
dist_cum,>=0.15,both,bigfam_v1,snp_h2,121,0.588216120060682,0.44781522708946875,0.7200764975782946,0.6174080238016685,0.5024874787688183,0.7454930227710238,0.9999
dist_cum,>=0.15,continuous,falconer,snp_h2,121,0.4011829066122162,0.1505003882612387,0.745871525476999,0.7102335561478077,0.5486443393963619,0.8521429830990634,0.985
dist_cum,>=0.15,continuous,herg,snp_h2,121,0.37388438800027385,0.1252952164365518,0.720266557061684,0.6972542630653933,0.5340659305899055,0.8403050618401404,0.9899
dist_cum,>=0.15,continuous,sem_step,snp_h2,121,0.12913753144009957,-0.0831362149123681,0.5136964509164518,0.6170177093521063,0.4467132739712776,0.7745352445423828,0.9989
dist_cum,>=0.15,continuous,sem_const,snp_h2,121,0.7747954239063991,0.6657296810735973,0.8695454558812704,0.8019150554053217,0.70188221046393,0.8853835575185791,0.9569
dist_cum,>=0.15,continuous,ldak_step,snp_h2,121,0.552604679159374,0.35507694644053384,0.7445421792853171,0.6182681611915495,0.44850002195150124,0.7756866527952394,0.9985
dist_cum,>=0.15,continuous,ldak_const,snp_h2,121,0.6600127648939552,0.4775790768640098,0.8308819770875069,0.7318031476722762,0.5795521148689571,0.8615372838736698,0.9877
dist_cum,>=0.15,continuous,bigfam,snp_h2,121,0.8355970332707188,0.772151939034245,0.8907494646987115,0.8529928558523167,0.7917947219179918,0.9019687414189423,
dist_cum,>=0.15,continuous,bigfam_v1,snp_h2,121,0.588216120060682,0.44646060630559203,0.7179817107626633,0.6174080238016685,0.48795767807431994,0.7322360807706743,1.0
dist_cum,>=0.15,binary,falconer,snp_h2,32,0.3262494236428753,-0.11132098213030725,0.723004027154169,0.29068914956011727,-0.09532038350194953,0.597011552089048,0.2431
dist_cum,>=0.15,binary,herg,snp_h2,32,0.4990450166821743,0.037582216341042356,0.8152661156337627,0.3581378299120234,-0.009771420826796945,0.6582043796987714,0.0867
dist_cum,>=0.15,binary,sem_step,snp_h2,32,-0.009337396609390513,-0.34575314854353634,0.34709453188756,-0.016495601173020527,-0.38329818368918717,0.324288245211529,0.7922
dist_cum,>=0.15,binary,sem_const,snp_h2,32,0.2662036481139834,-0.16968423181654396,0.7427569914213408,0.31891495601173014,-0.059698918267216225,0.6697192341086808,0.3534
dist_cum,>=0.15,binary,ldak_step,snp_h2,32,0.037754309893583894,-0.3155070508088876,0.36988765268890306,0.019061583577712607,-0.3338308246209214,0.35759810590107505,0.7575
dist_cum,>=0.15,binary,ldak_const,snp_h2,32,0.4224379838044538,0.006003434754297475,0.7848058145993622,0.41239002932551316,0.03537528559075851,0.7442083504420877,0.1587
dist_cum,>=0.15,binary,bigfam,snp_h2,32,0.2047420395267954,-0.2574315930625539,0.570206117582663,0.22173506243934557,-0.15278376777671457,0.5973980464471161,
dist_cum,>=0.20,both,falconer,snp_h2,101,0.2857644930984937,0.050830539193196994,0.6430798599867202,0.5834478741991845,0.3894544768314667,0.7660846844764545,0.9957
dist_cum,>=0.20,both,herg,snp_h2,101,0.27922580976244304,0.04864868657509787,0.6251249534772806,0.5828771112405359,0.3936814846550524,0.7618057905400335,0.9972
dist_cum,>=0.20,both,sem_step,snp_h2,101,0.016286543923186254,-0.16344515950651137,0.32942812516039166,0.3997553873034362,0.2064927962021013,0.5916501298250469,1.0
dist_cum,>=0.20,both,sem_const,snp_h2,101,0.5951004958521168,0.39429765138479295,0.7752934222262031,0.6285381479324403,0.47493487214175084,0.7641194692463285,0.9978
dist_cum,>=0.20,both,ldak_step,snp_h2,101,0.4013754829326341,0.20524723170134526,0.6052855175753831,0.4306648419077662,0.23431722339141114,0.6268496834204869,0.9999
dist_cum,>=0.20,both,ldak_const,snp_h2,101,0.5371343769900339,0.3442701937377627,0.7334727934569454,0.5694474782253599,0.38598906982147635,0.7442896347792196,0.9979
dist_cum,>=0.20,both,bigfam,snp_h2,101,0.8060024390550754,0.7130159618511963,0.8739153513005131,0.7093704761623593,0.5865369135400214,0.8088567425012075,
dist_cum,>=0.20,both,bigfam_v1,snp_h2,77,0.7537695958361553,0.6082693606701368,0.8752953040530154,0.7308327545671893,0.5833176099873075,0.8561935823058859,0.7962
dist_cum,>=0.20,continuous,falconer,snp_h2,77,0.2761760315111803,0.014058333140813707,0.6761578643810948,0.614227877385772,0.39105743035354074,0.8181666434795574,0.9901
dist_cum,>=0.20,continuous,herg,snp_h2,77,0.25615696296260004,-0.0029248750671054726,0.6558120040717368,0.6111257163888741,0.3902255252423091,0.8143308410616761,0.9926
dist_cum,>=0.20,continuous,sem_step,snp_h2,77,0.014097165820781587,-0.1929235008470128,0.4034354802208851,0.4835690625164309,0.2577573819335371,0.7007684434760897,0.9994
dist_cum,>=0.20,continuous,sem_const,snp_h2,77,0.7463583448014635,0.5889810322278121,0.8692783782979946,0.7426783742573216,0.5812000494173684,0.8680684673617143,0.9952
dist_cum,>=0.20,continuous,ldak_step,snp_h2,77,0.45766627607867166,0.22069179074747905,0.7000713824985946,0.49318400022400233,0.26751741171791976,0.7101659306531313,0.9993
dist_cum,>=0.20,continuous,ldak_const,snp_h2,77,0.5795372335373521,0.3444915543813893,0.8083896376136188,0.6334400287356423,0.4140896863484223,0.8262297312567981,0.9973
dist_cum,>=0.20,continuous,bigfam,snp_h2,77,0.8616138191821383,0.7723767304053015,0.9223732353862824,0.8332887177348348,0.7228455794824685,0.9111531719524024,
dist_cum,>=0.20,continuous,bigfam_v1,snp_h2,77,0.7537695958361553,0.6084531321994303,0.8743174742612451,0.7308327545671893,0.585431711043099,0.8497877112631652,0.9906
dist_cum,>=0.20,binary,falconer,snp_h2,24,0.2729602829824482,-0.21832383248462395,0.7411565522433299,0.26086956521739124,-0.1915528763142836,0.6473634801558287,0.395
dist_cum,>=0.20,binary,herg,snp_h2,24,0.4808452691472466,-0.044281994198420306,0.8510525325455732,0.3530434782608695,-0.08543909306632949,0.7242945320094147,0.1566
dist_cum,>=0.20,binary,sem_step,snp_h2,24,-0.027603040064433124,-0.40644293729208547,0.4013765530875336,-0.03304347826086956,-0.4653685322605334,0.37959823342718496,0.8334
dist_cum,>=0.20,binary,sem_const,snp_h2,24,0.21060077102250024,-0.2900804817847695,0.7829794290003043,0.2713043478260869,-0.20082133443894304,0.7162580813587115,0.4908
dist_cum,>=0.20,binary,ldak_step,snp_h2,24,0.08001017839956782,-0.33313765226724973,0.46673845759379223,0.054782608695652164,-0.37536901500744546,0.46042992161560387,0.7754
dist_cum,>=0.20,binary,ldak_const,snp_h2,24,0.365832442945402,-0.12789751073404096,0.8192021216593159,0.32,-0.15478949392825145,0.7617390120647999,0.2995
dist_cum,>=0.20,binary,bigfam,snp_h2,24,0.2450530476971155,-0.23847276158741085,0.653851873655994,0.2169928479843335,-0.21358800533396263,0.6281568222878303,
dist_cum,>=0.25,both,falconer,snp_h2,51,-0.002275001183903818,-0.24943275189180567,0.4209102899376292,0.40751131221719455,0.1277671452289837,0.6907837061609516,0.9996
dist_cum,>=0.25,both,herg,snp_h2,51,0.0013503199305152922,-0.2472202395428613,0.4176924460201545,0.38868778280542987,0.11194904208999626,0.6743520015163481,0.9998
dist_cum,>=0.25,both,sem_step,snp_h2,51,-0.22876840826106076,-0.41285845862472925,0.07098501870065109,0.10651583710407238,-0.16496069610716543,0.3911292914286968,1.0
dist_cum,>=0.25,both,sem_const,snp_h2,51,0.4814584390344608,0.20338843833041736,0.7623005019108383,0.6243438914027148,0.4225581539089856,0.8039287254856389,0.9994
dist_cum,>=0.25,both,ldak_step,snp_h2,51,0.07015666325173825,-0.1925447336551664,0.3652891596281502,0.14532700077923202,-0.14119134839152428,0.4405607147403587,1.0
dist_cum,>=0.25,both,ldak_const,snp_h2,51,0.3671611806925258,0.09434528529148048,0.6734493677928758,0.4890246787354725,0.2234917987537946,0.7512636527971901,0.9994
dist_cum,>=0.25,both,bigfam,snp_h2,51,0.8609364333885084,0.7951737307426906,0.913333398141504,0.815883241064248,0.7227085447230349,0.8899431080445233,
dist_cum,>=0.25,both,bigfam_v1,snp_h2,39,0.8602518706438781,0.7572664484030477,0.942982245534036,0.8175514965680489,0.7078338413812787,0.9203637361181373,0.4756
dist_cum,>=0.25,continuous,falconer,snp_h2,39,-0.03877255750803775,-0.3209698708602301,0.4289792051606212,0.43198380566801625,0.11541480962395285,0.7463654877298956,0.9971
dist_cum,>=0.25,continuous,herg,snp_h2,39,-0.050710349962927975,-0.32941515726403403,0.41679153786519346,0.3991902834008097,0.0885666382605712,0.7148648119352402,0.9979
dist_cum,>=0.25,continuous,sem_step,snp_h2,39,-0.24958766827177367,-0.46435598394034794,0.10461487374813491,0.1716599190283401,-0.14273158421928286,0.5008901395527873,1.0
dist_cum,>=0.25,continuous,sem_const,snp_h2,39,0.6771599009487629,0.49812004970007295,0.8500405034274653,0.7060728744939272,0.4918232527094503,0.8764379225251894,0.9928
dist_cum,>=0.25,continuous,ldak_step,snp_h2,39,0.09534516208883363,-0.2079630504766375,0.4595955809765306,0.18298736522831302,-0.13697233316122095,0.5134474190276932,1.0
dist_cum,>=0.25,continuous,ldak_const,snp_h2,39,0.37224318827386393,0.04646344096612398,0.748054821704762,0.5150840356640145,0.20319049839000217,0.8039234186832693,0.9973
dist_cum,>=0.25,continuous,bigfam,snp_h2,39,0.8998614949407063,0.8444097666516265,0.946785144555982,0.8658565740938156,0.7899541553890232,0.9277588087583066,
dist_cum,>=0.25,continuous,bigfam_v1,snp_h2,39,0.8602518706438781,0.755708028660726,0.9424549790148207,0.8175514965680489,0.7026479288614657,0.909766178947191,0.8985
dist_cum,>=0.25,binary,falconer,snp_h2,12,0.20545022237735625,-0.6634450382060353,0.8911044051768174,0.1188811188811189,-0.6000355040470029,0.7583670936747967,0.8691
